traffic_indicator_DT,traffic_indicator_XGB,traffic_indicator_LGBM,traffic_indicator_LR,date,day,location,month,time_block,weather
3.0,2.99,2.71,2.87,6,wed,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,6,wed,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,6,wed,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,7,sun,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,7,sun,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,7,sun,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,7,sun,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,7,sun,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,7,sun,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,7,thu,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,7,thu,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,7,thu,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,7,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,7,thu,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,7,thu,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,7,tue,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,7,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,7,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,7,tue,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.87,7,tue,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,7,tue,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,7,wed,begum_rokeya,apr,a,1
3.0,2.98,2.71,2.87,7,wed,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,7,wed,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,7,wed,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.87,7,wed,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,7,wed,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.85,8,fri,begum_rokeya,apr,a,1
3.0,3.02,2.71,2.85,8,fri,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.85,8,fri,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,8,fri,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.85,8,fri,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.85,8,fri,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.85,8,mon,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.85,8,mon,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.85,8,mon,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.85,8,mon,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.85,8,mon,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,8,mon,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.87,8,thu,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.87,8,thu,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,8,thu,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,8,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,8,thu,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,8,thu,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,8,wed,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,8,wed,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,8,wed,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.87,8,wed,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.87,8,wed,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,8,wed,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.85,9,fri,begum_rokeya,apr,a,1
3.0,3.03,2.71,2.85,9,fri,begum_rokeya,apr,b,1
3.0,3.03,2.71,2.85,9,fri,begum_rokeya,apr,c,1
3.0,3.02,2.71,2.85,9,fri,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.85,9,fri,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,9,fri,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.86,9,sat,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.86,9,sat,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.86,9,sat,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,9,sat,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.86,9,sat,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,9,sat,begum_rokeya,apr,f,1
3.0,3.02,2.71,2.87,9,thu,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.87,9,thu,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.87,9,thu,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.87,9,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,9,thu,begum_rokeya,apr,e,1
3.0,2.99,2.71,2.86,9,thu,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,9,tue,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.87,9,tue,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.87,9,tue,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.87,9,tue,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.87,9,tue,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,9,tue,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.85,10,fri,begum_rokeya,apr,a,1
3.0,3.02,2.71,2.85,10,fri,begum_rokeya,apr,b,1
3.0,3.02,2.71,2.85,10,fri,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.85,10,fri,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.85,10,fri,begum_rokeya,apr,e,1
3.0,2.99,2.71,2.85,10,fri,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,10,sat,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.86,10,sat,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,10,sat,begum_rokeya,apr,c,1
3.0,2.98,2.71,2.86,10,sat,begum_rokeya,apr,d,1
3.0,2.98,2.71,2.86,10,sat,begum_rokeya,apr,e,1
3.0,2.99,2.71,2.86,10,sat,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,10,sun,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.86,10,sun,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.86,10,sun,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,10,sun,begum_rokeya,apr,d,1
3.0,2.98,2.71,2.86,10,sun,begum_rokeya,apr,e,1
3.0,2.99,2.71,2.86,10,sun,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,10,wed,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.87,10,wed,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.87,10,wed,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,10,wed,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,10,wed,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,10,wed,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.86,11,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,11,mon,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.85,11,mon,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.85,11,mon,begum_rokeya,apr,d,1
3.0,2.98,2.71,2.85,11,mon,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,11,mon,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,11,sat,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,11,sat,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,11,sat,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,11,sat,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,11,sat,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,11,sat,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.86,11,sun,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,11,sun,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,11,sun,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,11,sun,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,11,sun,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,11,sun,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,11,thu,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,11,thu,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,11,thu,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,11,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,11,thu,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,11,thu,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.85,12,fri,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.85,12,fri,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.85,12,fri,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,12,fri,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.85,12,fri,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,12,fri,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,12,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,12,mon,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,12,mon,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,12,mon,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.85,12,mon,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.85,12,mon,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,12,sun,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,12,sun,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,12,sun,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.86,12,sun,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.86,12,sun,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,12,sun,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,12,tue,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,12,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,12,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,12,tue,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,12,tue,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,12,tue,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,13,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,13,mon,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,13,mon,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,13,mon,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,13,mon,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.85,13,mon,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.86,13,sat,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,13,sat,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,13,sat,begum_rokeya,apr,c,1
3.0,2.98,2.71,2.86,13,sat,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,13,sat,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.86,13,sat,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,13,tue,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,13,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,13,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,13,tue,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,13,tue,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,13,tue,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.88,13,wed,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.88,13,wed,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.88,13,wed,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,13,wed,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.87,13,wed,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,13,wed,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,14,sun,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,14,sun,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,14,sun,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,14,sun,begum_rokeya,apr,d,1
3.0,2.97,2.71,2.86,14,sun,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,14,sun,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,14,thu,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,14,thu,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.87,14,thu,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,14,thu,begum_rokeya,apr,d,1
3.0,2.97,2.71,2.87,14,thu,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,14,thu,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,14,tue,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,14,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,14,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,14,tue,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.87,14,tue,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,14,tue,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.88,14,wed,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.88,14,wed,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.88,14,wed,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.88,14,wed,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.88,14,wed,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.87,14,wed,begum_rokeya,apr,f,1
3.0,2.99,2.71,2.85,15,fri,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.85,15,fri,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.85,15,fri,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,15,fri,begum_rokeya,apr,d,1
3.0,3.01,2.71,2.85,15,fri,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.85,15,fri,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,15,mon,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,15,mon,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.86,15,mon,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.86,15,mon,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,15,mon,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.86,15,mon,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,15,thu,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,15,thu,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.87,15,thu,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,15,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,15,thu,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,15,thu,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.88,15,wed,begum_rokeya,apr,a,1
3.0,3.0,2.71,2.88,15,wed,begum_rokeya,apr,b,1
3.0,3.0,2.71,2.88,15,wed,begum_rokeya,apr,c,1
3.0,3.0,2.71,2.88,15,wed,begum_rokeya,apr,d,1
3.0,3.0,2.71,2.88,15,wed,begum_rokeya,apr,e,1
3.0,3.01,2.71,2.88,15,wed,begum_rokeya,apr,f,1
3.0,2.99,2.71,2.85,16,fri,begum_rokeya,apr,a,1
3.0,3.01,2.71,2.85,16,fri,begum_rokeya,apr,b,1
3.0,3.01,2.71,2.85,16,fri,begum_rokeya,apr,c,1
3.0,3.01,2.71,2.85,16,fri,begum_rokeya,apr,d,1
3.0,3.02,2.71,2.85,16,fri,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.85,16,fri,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.86,16,sat,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.86,16,sat,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.86,16,sat,begum_rokeya,apr,c,1
3.0,2.98,2.71,2.86,16,sat,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.86,16,sat,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.86,16,sat,begum_rokeya,apr,f,1
3.0,3.01,2.71,2.87,16,thu,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,16,thu,begum_rokeya,apr,b,1
3.0,2.98,2.71,2.87,16,thu,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,16,thu,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,16,thu,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,16,thu,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.87,16,tue,begum_rokeya,apr,a,1
3.0,2.99,2.71,2.87,16,tue,begum_rokeya,apr,b,1
3.0,2.99,2.71,2.87,16,tue,begum_rokeya,apr,c,1
3.0,2.99,2.71,2.87,16,tue,begum_rokeya,apr,d,1
3.0,2.99,2.71,2.87,16,tue,begum_rokeya,apr,e,1
3.0,3.0,2.71,2.87,16,tue,begum_rokeya,apr,f,1
3.0,3.0,2.71,2.85,17,fri,begum_rokeya,apr,a,1
